"NUM_OC","FECHA_CIERRE_TAREA","TIPO_SLA","ANS2","mes"
"2898694",2021-02-03 15:43:28,"SLA8","Cumple",2021-02-01
"2903230",2021-02-03 15:52:27,"SLA8","Cumple",2021-02-01
"2904488",2021-02-03 17:41:00,"SLA8","Cumple",2021-02-01
"2910061",2021-02-03 15:53:25,"SLA8","Cumple",2021-02-01
"2918369",2021-02-03 15:54:24,"SLA8","Cumple",2021-02-01
"2918410",2021-02-02 16:14:52,"SLA8","Cumple",2021-02-01
"2920127",2021-02-03 15:55:23,"SLA8","Cumple",2021-02-01
"2923238",2021-02-03 15:59:48,"SLA8","Cumple",2021-02-01
"2923452",2021-02-02 16:14:00,"SLA8","Cumple",2021-02-01
"2925348",2021-02-01 13:32:01,"SLA8","Cumple",2021-02-01
"2926376",2021-02-01 08:53:11,"SLA8","Cumple",2021-02-01
"2926487",2021-02-01 09:35:01,"SLA8","Cumple",2021-02-01
"2926537",2021-02-01 13:18:53,"SLA8","Cumple",2021-02-01
"2926612",2021-02-03 16:02:07,"SLA8","Cumple",2021-02-01
"2926649",2021-02-01 13:17:00,"SLA8","Cumple",2021-02-01
"2926661",2021-02-01 12:24:37,"SLA8","Cumple",2021-02-01
"2926793",2021-02-01 11:44:49,"SLA8","Cumple",2021-02-01
"2926963",2021-02-01 12:41:35,"SLA8","Cumple",2021-02-01
"2926964",2021-02-01 13:26:48,"SLA8","Cumple",2021-02-01
"2927011",2021-02-01 13:36:34,"SLA8","Cumple",2021-02-01
"2927030",2021-02-01 13:48:02,"SLA8","Cumple",2021-02-01
"2927057",2021-02-01 14:42:48,"SLA8","Cumple",2021-02-01
"2927059",2021-02-01 14:22:00,"SLA8","Cumple",2021-02-01
"2927060",2021-02-01 15:03:13,"SLA8","Cumple",2021-02-01
"2927330",2021-02-01 17:31:50,"SLA8","Cumple",2021-02-01
"2927332",2021-02-01 17:33:09,"SLA8","Cumple",2021-02-01
"2927336",2021-02-01 17:34:23,"SLA8","Cumple",2021-02-01
"2927340",2021-02-01 17:35:57,"SLA8","Cumple",2021-02-01
"2927345",2021-02-01 17:37:52,"SLA8","Cumple",2021-02-01
"2927906",2021-02-02 09:01:13,"SLA8","Cumple",2021-02-01
"2928031",2021-02-02 09:02:00,"SLA8","Cumple",2021-02-01
"2928032",2021-02-02 09:31:24,"SLA8","Cumple",2021-02-01
"2928039",2021-02-02 09:08:00,"SLA8","Cumple",2021-02-01
"2928053",2021-02-02 20:04:09,"SLA8","Incumple",2021-02-01
"2928108",2021-02-02 10:37:48,"SLA8","Cumple",2021-02-01
"2928121",2021-02-02 09:24:13,"SLA8","Cumple",2021-02-01
"2928274",2021-02-02 10:29:29,"SLA8","Cumple",2021-02-01
"2928325",2021-02-02 15:07:36,"SLA8","Cumple",2021-02-01
"2928398",2021-02-02 17:03:32,"SLA8","Cumple",2021-02-01
"2928471",2021-02-02 14:24:43,"SLA8","Cumple",2021-02-01
"2928527",2021-02-02 14:44:06,"SLA8","Cumple",2021-02-01
"2928565",2021-02-02 12:03:35,"SLA8","Cumple",2021-02-01
"2928581",2021-02-02 12:11:04,"SLA8","Cumple",2021-02-01
"2928618",2021-02-02 13:00:48,"SLA8","Cumple",2021-02-01
"2928659",2021-02-02 13:13:55,"SLA8","Cumple",2021-02-01
"2928671",2021-02-02 13:32:25,"SLA8","Cumple",2021-02-01
"2928681",2021-02-02 13:35:21,"SLA8","Cumple",2021-02-01
"2928702",2021-02-02 13:56:44,"SLA8","Cumple",2021-02-01
"2928757",2021-02-02 14:17:54,"SLA8","Cumple",2021-02-01
"2928764",2021-02-02 14:38:20,"SLA8","Cumple",2021-02-01
"2928774",2021-02-02 14:50:21,"SLA8","Cumple",2021-02-01
"2928818",2021-02-05 08:16:07,"SLA8","Cumple",2021-02-01
"2928835",2021-02-02 15:33:57,"SLA8","Cumple",2021-02-01
"2928884",2021-02-02 16:02:05,"SLA8","Cumple",2021-02-01
"2929036",2021-02-02 19:04:40,"SLA8","Cumple",2021-02-01
"2929061",2021-02-02 17:39:52,"SLA8","Cumple",2021-02-01
"2929067",2021-02-02 19:29:03,"SLA8","Cumple",2021-02-01
"2929177",2021-02-02 19:50:01,"SLA8","Cumple",2021-02-01
"2929257",2021-02-02 19:16:20,"SLA8","Cumple",2021-02-01
"2929323",2021-02-02 21:00:58,"SLA8","Cumple",2021-02-01
"2929327",2021-02-02 21:12:11,"SLA8","Cumple",2021-02-01
"2929333",2021-02-02 21:26:59,"SLA8","Cumple",2021-02-01
"2929537",2021-02-03 08:22:22,"SLA8","Cumple",2021-02-01
"2929551",2021-02-03 08:28:03,"SLA8","Cumple",2021-02-01
"2929616",2021-02-03 09:07:49,"SLA8","Cumple",2021-02-01
"2929693",2021-02-03 09:28:02,"SLA8","Cumple",2021-02-01
"2929856",2021-02-03 10:41:47,"SLA8","Cumple",2021-02-01
"2929935",2021-02-03 11:30:58,"SLA8","Cumple",2021-02-01
"2929943",2021-02-03 11:33:36,"SLA8","Cumple",2021-02-01
"2929958",2021-02-03 13:01:40,"SLA8","Cumple",2021-02-01
"2929962",2021-02-03 20:06:06,"SLA8","Cumple",2021-02-01
"2930051",2021-02-03 13:01:18,"SLA8","Cumple",2021-02-01
"2930097",2021-02-03 13:51:58,"SLA8","Cumple",2021-02-01
"2930115",2021-02-03 13:49:02,"SLA8","Cumple",2021-02-01
"2930140",2021-02-03 14:22:26,"SLA8","Cumple",2021-02-01
"2930178",2021-02-03 15:27:14,"SLA8","Cumple",2021-02-01
"2930401",2021-02-03 16:22:41,"SLA8","Cumple",2021-02-01
"2930402",2021-02-03 17:13:32,"SLA8","Cumple",2021-02-01
"2930406",2021-02-03 17:11:36,"SLA8","Cumple",2021-02-01
"2930452",2021-02-03 17:45:38,"SLA8","Cumple",2021-02-01
"2930463",2021-02-03 23:53:17,"SLA8","Cumple",2021-02-01
"2930475",2021-02-03 23:54:29,"SLA8","Cumple",2021-02-01
"2930518",2021-02-03 18:07:35,"SLA8","Cumple",2021-02-01
"2930528",2021-02-03 17:57:59,"SLA8","Cumple",2021-02-01
"2930571",2021-02-03 18:17:13,"SLA8","Cumple",2021-02-01
"2931018",2021-02-04 08:19:02,"SLA8","Cumple",2021-02-01
"2931019",2021-02-04 08:17:23,"SLA8","Cumple",2021-02-01
"2931021",2021-02-04 08:18:12,"SLA8","Cumple",2021-02-01
"2931023",2021-02-04 08:19:48,"SLA8","Cumple",2021-02-01
"2931027",2021-02-04 08:20:36,"SLA8","Cumple",2021-02-01
"2931434",2021-02-04 11:31:14,"SLA8","Cumple",2021-02-01
"2931469",2021-02-04 12:33:14,"SLA8","Cumple",2021-02-01
"2931502",2021-02-04 12:27:11,"SLA8","Cumple",2021-02-01
"2931518",2021-02-04 11:59:23,"SLA8","Cumple",2021-02-01
"2931539",2021-02-05 18:53:49,"SLA8","Cumple",2021-02-01
"2931566",2021-02-04 12:30:29,"SLA8","Cumple",2021-02-01
"2931605",2021-02-05 18:31:41,"SLA8","Cumple",2021-02-01
"2931606",2021-02-05 18:17:24,"SLA8","Cumple",2021-02-01
"2931618",2021-02-08 08:48:24,"SLA8","Cumple",2021-02-01
"2931676",2021-02-05 16:17:03,"SLA8","Cumple",2021-02-01
"2931763",2021-02-08 14:57:46,"SLA8","Cumple",2021-02-01
"2931816",2021-02-08 13:15:40,"SLA8","Cumple",2021-02-01
"2932158",2021-02-05 01:19:45,"SLA8","Cumple",2021-02-01
"2932869",2021-02-08 10:56:50,"SLA8","Cumple",2021-02-01
"2932954",2021-02-05 12:20:57,"SLA8","Cumple",2021-02-01
